public_information, excess_demand
67, 3
49, 5
28, 11
81, 13
98, 5
107, -9
39, 7
95, 1
116, -1
18, -5
109, -3
33, -13
118, 17
90, 9
24, -1
73, -5
32, -9
66, 7
16, -3
82, -3
50, -3
117, 7
40, -3
12, 7
91, 15
101, -7
32, -7
48, -5
74, -1
62, -7
99, -7
9, 3
13, -1
55, -9
14, -9
54, 7
40, -3
60, -25
29, 9
28, 9
51, 7
94, 17
14, -7
97, -15
97, -15
23, 1
10, -7
0, -15
90, 13
69, -1
39, 5
66, 5
15, -5
54, 5
79, 11
67, 5
49, 13
36, -15
75, 1
108, -9
125, -13
37, -5
40, 1
23, -1
96, -3
5, -13
78, -1
81, 15
38, -11
88, 1
36, -15
14, -5
64, 7
75, 3
123, -13
87, 5
18, -9
110, 7
81, 7
26, 11
35, -3
50, -5
15, -7
55, -13
53, -1
58, 3
18, -5
41, 7
6, -7
110, 5
58, -7
47, 7
99, -9
93, -3
121, -13
5, -13
106, -7
42, -1
101, -7
0, -9
38, -13
123, -13
118, 3
2, -11
47, -5
68, -5
55, -7
44, 1
1, -17
96, -1
52, -3
118, -11
56, 5
27, 13
54, 3
78, -5
54, 3
104, -7
70, 3
108, -7
92, 7
16, -7
93, -1
95, -11
74, 3
69, 1
79, 9
117, -1
36, -9
63, -11
114, 3
40, 5
51, 9
72, 1
81, 5
22, 19
81, 7
86, -13
86, -5
127, 7
46, 15
126, 1
126, 1
118, -3
93, -1
125, -11
116, -3
36, 5
43, 5
6, -5
115, -17
116, -7
38, -5
26, 3
43, 5
100, 7
53, -3
83, 9
39, 7
109, -9
61, 11
115, -1
105, 1
124, -3
122, 3
80, -5
63, -7
104, -3
16, -5
7, 1
120, -7
117, 1
43, 5
52, -1
118, 5
49, 19
78, 9
46, 5
63, -7
54, 5
18, -13
48, -5
29, 13
102, -15
118, 11
57, 15
118, 9
19, 5
10, -3
100, 5
18, -13
29, 3
10, -5
89, -1
120, -5
85, -7
47, -1
56, 1
52, -3
99, -5
71, 3
88, 13
20, -1
86, -11
117, 5
125, -5
49, 9
111, -1
57, -1
22, 11
1, -11
31, -5
42, -1
37, -1
94, 19
81, -5
49, 9
43, 1
87, 3
5, 3
3, 1
90, 9
104, -25
40, -3
3, -1
111, 1
1, -5
61, 11
31, -7
59, 13
10, -7
19, 5
44, -3
54, 7
17, 1
70, -1
2, 5
107, -5
115, -9
51, 3
104, -17
13, 11
58, -9
31, 1
27, 3
10, 5
72, 1
123, 1
108, -5
71, -5
18, 1
8, 3
22, 7
78, -13
116, 5
60, -9
106, -5
93, -1
117, 5
125, -9
33, -9
10, 3
74, 1
1, -5
64, 15
121, -13
76, -5
104, 1
113, -15
27, 11
25, -1
103, -1
18, 1
65, -1
62, -9
105, -7
58, -7
57, 9
101, -15
6, -11
63, -1
119, -9
47, -5
75, 7
73, -3
81, -5
35, -3
73, -9
100, 11
110, -3
85, -3
23, -1
41, 7
81, -3
29, 5
76, 3
67, 13
57, 3
112, 5
122, -1
124, -1
12, 5
105, -1
112, -9
47, -5
71, -9
6, -11
117, 1
57, -3
28, 9
79, 11
46, 1
11, 5
105, -7
48, -5
37, 5
87, 5
8, 3
104, -11
103, -7
106, -11
27, 5
41, 3
91, -5
49, -1
29, -3
104, -11
90, 1
106, -11
59, 7
8, -3
49, 3
24, -1
111, -3
56, 1
43, 3
36, -11
68, -7
78, 1
107, 1
2, 1
54, -1
40, 5
97, -3
73, -3
81, -9
93, -11
99, -9
28, 7
74, -5
103, 13
41, 1
110, 9
74, -3
96, 5
46, 3
18, 5
6, -11
61, -3
36, -9
121, -15
23, -7
122, -5
90, 1
24, 7
58, -1
41, 5
10, 1
63, -1
51, 5
102, -11
72, -7
71, 11
35, -7
108, -5
86, -3
42, -1
126, 1
16, -5
11, -1
61, -5
25, 9
39, 9
49, 5
101, -11
10, 1
53, -3
74, -7
30, 5
83, -1
3, 1
50, -1
80, 3
1, -7
80, 1
70, -11
98, 23
81, -1
95, 11
106, 1
39, 5
102, -9
122, -13
45, 3
53, -3
53, 11
84, -3
4, -3
45, -5
5, 5
19, -7
53, 9
116, -5
18, 13
31, -7
126, -1
58, -3
21, 3
87, -1
80, 7
84, 1
3, -9
96, -3
124, 1
47, 1
21, -1
45, -5
78, -17
18, 5
80, 3
30, 5
57, 5
44, 1
65, -5
74, -1
85, -13
81, 7
11, 1
117, -5
79, 21
43, 1
45, 3
107, -11
0, -11
72, 1
121, -5
80, 1
110, 1
96, 1
36, -3
0, -3
123, 1
17, -7
117, 3
117, -3
65, 1
91, 13
51, 5
77, 7
74, 3
30, 5
109, -1
59, 7
72, -5
123, 3
42, 1
16, 3
94, 9
44, 3
110, -7
7, 1
77, 1
33, -7
21, -3
57, -1
92, 21
39, 3
23, 5
42, -5
9, 11
76, -1
119, -11
84, -3
34, -27
85, -3
50, 5
28, 7
55, -5
89, 1
100, -1
2, -1
110, -1
80, 1
43, 15
77, 1
14, -1
79, 7
61, 13
82, -9
59, -3
7, 3
47, -11
99, -9
34, -25
16, -1
86, 3
101, -17
125, -11
95, 11
54, -1
73, -3
28, 15
121, -11
1, -7
118, -7
26, -1
4, -5
79, 7
111, 7
99, 3
49, -7
67, -5
88, 3
79, 7
11, 5
64, 1
46, 5
72, -1
46, 5
76, 7
106, -7
89, -11
125, -9
36, -7
58, 7
105, -1
25, -1
126, 7
45, -3
83, 1
77, 5
7, -11
115, -11
59, -3
87, -5
42, -11
31, 7
5, 7
126, 13
69, -13
19, -3
34, -15
110, 3
62, -3
88, 1
0, -7
76, -9
14, -7
112, -7
98, 13
63, 9
120, -1
43, -1
49, -3
13, -1
84, 3
119, 5
59, 1
105, -5
23, -7
72, 3
54, 11
104, -27
103, -1
32, -1
9, 7
101, -3
18, 5
79, 11
77, 1
58, -1
19, -5
94, 7
52, -5
60, 1
16, -15
43, -3
98, 11
40, 7
89, -5
106, -7
12, -1
89, -3
18, -3
1, -7
18, 3
112, -3
81, -5
45, -5
53, 5
66, -9
57, 1
94, -1
22, -1
25, -1
34, -9
104, -21
13, -7
75, 7
50, 1
69, 3
12, 3
127, 5
6, -17
46, 3
16, -13
63, 7
13, -1
95, 9
58, 1
105, -13
126, 7
77, 5
88, -15
33, -3
24, -5
121, -5
18, -3
40, 7
93, 1
25, 3
14, -15
93, -5
85, -3
8, 5
95, -11
34, -15
80, -3
20, 7
9, 1
63, 5
97, 9
62, 5
94, 9
10, -5
42, -1
18, 7
100, 3
37, 1
109, 7
46, -3
95, -5
122, -1
125, -13
94, -3
30, -5
22, -3
103, 3
43, -1
89, 1
127, 5
37, -1
44, -5
45, -3
32, -5
88, -13
78, 3
69, 5
66, -9
124, 5
7, -1
1, 1
27, 5
73, 1
62, 5
26, -5
51, 11
62, -9
117, 5
12, 5
16, -1
80, -7
36, -3
17, 5
110, 1
24, -5
84, -9
1, -5
66, -13
7, -11
75, 1
51, -9
104, -23
17, 1
115, -11
48, -7
40, 7
96, -5
16, 1
51, -7
33, -9
121, -9
1, -5
90, 1
60, -7
34, -9
42, -7
53, -1
58, 1
110, -7
53, -7
56, 1
92, 3
117, -5
106, 7
91, 9
37, 3
51, -5
85, 1
49, 9
66, -9
29, 11
67, 9
106, 23
26, 1
118, -13
82, -7
43, 11
27, 7
99, 1
109, 3
126, 5
6, -5
20, 3
67, 9
111, 7
108, 5
45, -1
111, -9
48, -9
102, -7
125, -11
71, 15
19, 1
38, -9
93, 11
54, -3
86, -1
88, -1
119, 3
66, -9
9, -1
105, -15
114, -1
21, -1
122, -1
89, 5
7, -5
57, 7
97, 9
78, -5
72, -7
34, -23
55, -7
81, 13
20, 7
66, -7
92, -5
80, 7
62, -3
28, 3
45, 7
40, 3
122, -5
6, -5
59, 9
59, -1
85, -3
109, 3
10, 3
103, -1
87, 9
41, 7
118, 1
40, 3
125, -13
70, 9
113, -19
47, 3
65, -5
26, 7
30, -5
59, 1
53, 11
86, -9
6, -7
93, -3
71, -3
38, -5
97, 9
47, 3
68, -1
109, 1
41, -3
65, -7
31, -9
42, -5
37, -9
74, -7
52, -5
107, -7
16, -9
116, -5
7, -5
28, 7
121, -1
24, 5
106, 11
62, 13
20, -5
57, -3
22, -5
61, 7
60, -5
76, 1
61, 17
81, 5
77, 5
108, -5
18, 1
44, -11
111, 1
50, -7
12, 5
35, -7
5, -3
24, -5
49, 5
24, 1
26, 3
1, -7
62, -5
5, -27
82, 11
39, 7
8, 5
17, -3
43, 9
29, -1
46, 5
12, 7
