public_information, excess_demand
125, 27
95, 9
35, -37
77, -5
67, 1
1, 1
9, 13
12, -19
84, -3
75, 11
103, 19
70, -11
78, 35
77, 5
97, 31
45, 15
15, -7
77, 7
33, 27
119, -21
25, -5
109, -9
85, 17
2, -5
23, -3
74, -11
102, 13
35, -21
51, 13
46, -7
13, -9
11, 9
89, 9
12, -19
65, 15
54, -25
43, 27
117, -3
27, -29
71, 27
18, -15
56, -9
36, -3
64, 15
106, -3
66, 9
3, 15
120, 5
114, -15
53, 9
102, -1
102, 11
43, 21
48, -5
46, -3
74, -11
77, 3
122, 21
93, -3
16, 7
16, 15
85, 23
57, 5
27, -31
24, 31
90, -11
92, -23
104, -3
1, -3
20, -23
22, 3
56, -9
71, 7
36, -13
102, -3
98, 9
9, -9
117, 1
35, -5
6, 23
83, 1
124, -15
24, 25
10, 25
13, -1
15, 3
62, 19
12, -3
114, -11
82, -11
76, -7
53, 3
43, 5
77, 1
7, 7
22, 1
43, 9
29, -13
57, -7
47, 15
66, 5
6, 7
3, 13
97, 25
95, 5
89, 13
121, -7
74, 1
76, -7
20, -25
108, -5
67, 21
45, 9
0, -17
0, -25
103, 37
73, -11
102, -11
89, 9
41, -13
82, -3
41, -15
124, -13
41, -11
112, 27
48, -11
109, 5
127, 7
19, -7
46, -11
39, -11
113, -9
66, 11
5, -15
85, 3
70, 11
126, -5
3, -27
100, -5
28, -23
115, -11
103, 15
24, 5
25, 3
84, -11
85, 9
92, 5
105, -9
100, -9
62, 9
86, 1
69, 19
111, 1
43, -9
24, 5
106, 7
20, -13
81, 33
105, -19
67, 11
53, 13
115, -11
103, -7
127, -1
127, 25
50, -7
88, 5
12, 11
61, -29
67, 5
38, 15
12, 7
96, 23
40, 1
71, -9
65, -23
18, -33
102, 5
34, -15
104, 5
49, -7
18, -33
34, -19
125, -1
80, -5
6, -21
19, 19
112, 1
118, 19
56, -11
79, -33
102, -1
7, 17
92, 1
3, -15
75, -13
51, 7
38, -25
28, -21
114, -3
109, 1
61, 5
43, -5
75, -3
117, -15
106, 9
4, -15
96, -15
108, 5
62, 9
28, -13
78, -7
100, 15
94, 5
27, 13
17, 17
77, 3
94, 11
79, -15
55, 5
108, 7
125, 11
43, -3
118, 35
49, -3
109, -15
67, 13
46, -1
17, 7
93, -13
37, 19
92, -7
56, -7
0, -1
29, 9
122, 3
125, 11
5, 1
35, 11
15, 13
6, 17
71, 1
50, -9
126, -7
74, 19
87, 13
67, 7
17, 17
105, 9
90, -19
48, -1
45, -23
76, 11
40, 7
43, 9
122, -7
102, 11
74, -9
113, -5
96, 3
49, 7
69, -3
37, 15
22, -7
79, -3
97, 33
59, -29
43, -11
85, -7
28, 1
28, 9
42, -3
53, -15
89, 27
39, 5
0, 1
49, -7
20, -15
4, -1
121, -3
37, 9
70, 11
23, -1
84, -1
19, 15
62, 9
12, 11
89, 13
36, -3
82, 21
8, -5
78, 7
29, 11
19, 29
43, -1
48, -5
50, -3
125, -7
14, 1
87, -7
52, 9
50, 5
114, 9
66, -11
96, 13
93, 13
3, 3
56, -15
28, -1
37, -9
57, -11
63, -17
120, 21
52, -7
103, 27
16, 5
119, -31
95, 21
57, -7
20, 9
2, 15
55, 23
6, 9
37, -3
104, 1
