public_information, excess_demand
114, 8
62, 0
50, -4
71, 2
21, 8
109, -2
22, 0
100, 4
50, -2
102, 2
107, 0
64, -4
20, -2
37, 0
38, 0
110, -2
37, 2
94, 0
59, -2
9, -2
120, 0
36, 0
59, -2
11, -6
123, 0
48, 6
67, 4
6, 2
54, 0
91, -2
71, -2
32, 2
17, 2
79, 0
73, -2
112, -2
74, 4
77, 2
50, -2
81, -2
56, 0
71, 0
121, 8
58, -4
54, 0
92, -4
84, -2
17, 2
109, -6
44, -4
27, 0
56, 0
123, 2
112, -2
111, -4
14, 2
75, 0
32, 2
15, -6
42, 6
23, 8
122, -8
83, 4
36, 0
75, 0
118, 4
90, 0
64, -2
87, 4
95, -6
93, 0
104, -2
9, -2
85, 2
60, 2
74, 2
88, 2
126, 4
11, -4
39, 8
12, 0
16, 6
118, 4
76, -4
33, 0
95, -6
120, 0
18, -4
36, 0
84, 0
49, 0
113, -4
98, 0
21, 8
92, -6
41, -2
119, 2
110, -4
101, 0
34, -4
123, 2
78, 2
17, 2
21, 8
104, -2
117, 8
53, 2
84, 0
54, 2
118, 4
44, -4
21, 8
33, 0
17, 2
122, -8
14, 0
36, 0
26, 4
104, -2
69, 0
36, 0
111, -6
81, -2
2, -6
84, 0
32, 2
32, 4
120, -2
0, 6
115, 2
79, 0
111, -6
93, 0
3, 4
58, -4
72, 0
88, 2
20, -2
106, 2
123, 2
19, -6
0, 6
4, -2
75, -2
43, -2
125, 8
72, -2
3, 4
122, -8
58, -4
66, 0
2, -6
106, 2
76, -4
84, 0
58, -4
81, -2
112, -2
4, -2
32, 2
13, 0
76, -4
44, -4
52, 2
9, -2
89, -4
33, 0
55, 2
80, 2
85, 2
21, 8
92, -8
7, 0
62, 0
118, 4
26, 4
51, 4
57, 0
69, 2
53, 4
101, 2
22, 2
20, -4
77, 2
82, 6
101, -2
0, 2
78, 2
34, -2
94, 2
66, -2
80, 0
20, -2
12, 0
80, 2
108, -2
52, 4
124, 2
24, -6
120, -2
98, -2
20, -2
40, -8
101, -2
118, 4
8, 4
67, 4
103, 2
118, 4
11, -2
39, 10
113, -2
19, -4
113, -2
83, 4
82, 8
49, -2
34, -2
21, 4
93, 0
85, 2
61, 8
114, 6
33, 0
59, -4
67, 6
86, -6
1, -2
87, 2
76, -4
76, 0
18, -4
70, -6
44, -4
35, -2
57, 0
8, 6
53, 4
26, 2
90, 0
108, 2
110, -2
61, 4
68, 2
22, 4
32, 2
78, 0
127, -2
78, 0
110, -2
53, 6
36, -2
97, 4
15, -6
107, 2
121, 6
61, 4
30, 2
97, 4
36, -2
12, -2
73, -2
10, 10
7, 0
127, 0
122, -6
106, -4
18, -4
0, 2
1, -2
84, -4
52, 2
69, -4
127, -2
7, 0
7, 0
24, -4
22, 2
108, 2
110, -2
84, -4
31, 8
29, 6
75, -2
102, 0
16, 6
1, 4
118, 4
116, 0
76, -4
121, 0
44, -4
121, 0
80, 0
52, 2
119, 4
33, -4
68, 2
58, -6
93, 0
22, 6
1, -2
2, -2
1, -2
50, -4
110, -2
22, 6
82, 8
22, 6
103, 2
104, -2
16, 6
14, -6
30, 2
38, 0
115, 2
91, 0
69, 0
90, -10
77, 2
47, -4
97, 0
47, -4
109, -4
98, 0
20, -4
19, 0
97, 0
95, 0
84, 0
58, -6
14, 0
43, -4
65, -4
122, -2
34, -4
72, 4
78, 2
108, 0
115, 2
60, -2
122, -8
49, 0
14, 0
92, 0
81, -2
43, -4
70, -4
82, 0
54, 2
5, 0
25, -4
116, -2
57, 0
94, -2
77, 0
7, -4
71, -2
123, -4
71, -2
45, 4
20, -4
64, -2
83, 4
7, -4
1, 2
38, 0
39, 8
124, -2
110, -4
74, 0
73, -2
55, 0
54, 4
77, 2
24, -4
36, -4
67, 6
77, 2
59, -6
44, -4
90, -2
44, -4
65, -4
28, 0
36, 0
122, -2
0, 4
120, -2
23, 8
42, 6
44, -4
104, -2
34, -2
18, 2
83, 4
103, -4
71, 0
28, 0
85, 2
58, -6
20, -2
103, -4
80, 2
117, 8
9, 0
4, -4
58, -4
78, 0
59, -6
81, 0
20, -2
29, 6
33, -2
115, 4
84, 0
108, 0
118, 4
29, 6
87, 6
76, 0
119, 2
65, -6
18, -4
121, 0
55, 2
62, 0
29, 6
11, 4
49, -2
120, -2
79, -2
18, 2
103, 0
83, 4
108, -2
33, -2
7, 0
38, 0
9, 0
62, 0
54, 4
72, 4
85, 2
124, -2
124, 2
36, -4
73, -2
97, 6
40, -6
56, 0
33, -2
64, -2
115, 2
7, -4
114, 8
79, -2
123, 0
71, 2
88, 2
50, -6
3, 6
119, 0
13, -2
54, 2
21, 8
58, -6
86, -4
18, 2
23, 8
126, -2
18, -4
22, 4
123, 0
68, 2
78, 2
79, -2
120, 2
65, -6
36, 0
68, 2
23, 8
30, 2
81, -2
120, -4
70, -2
88, -2
73, -4
116, -2
93, 4
40, -2
117, 8
104, -4
122, -8
113, -4
78, 0
74, 0
33, -2
41, -4
24, -2
94, 0
32, 0
101, -6
97, 4
83, 4
109, -4
9, -4
64, 0
109, 2
105, -6
68, -2
119, 2
101, -6
83, 4
78, 0
24, -2
91, 2
84, 0
5, 6
17, 6
30, 2
33, -2
64, 0
84, 0
101, -6
101, 0
125, 2
73, -4
66, -6
54, 4
15, -2
23, 8
51, 0
103, 0
97, 2
82, 4
52, 4
123, -2
15, -2
103, 0
104, -2
127, 0
52, 4
40, -4
3, 12
81, -2
7, -2
78, 0
94, 0
68, 2
109, 0
77, -4
19, 0
20, -2
62, 2
14, -2
100, 6
104, -6
92, 2
37, -2
35, -2
74, 4
67, 0
39, 6
32, -2
94, 0
44, 0
50, -2
61, 2
65, -6
47, -2
49, -2
127, 2
107, -2
10, 2
103, 0
125, 0
67, 2
43, -2
88, 4
64, 2
58, -4
37, 2
108, -2
1, 0
74, 0
69, 0
47, 2
56, -2
17, 4
19, 0
46, 4
101, -4
59, -6
112, -2
73, -2
105, -2
106, 0
94, 0
81, 0
70, -4
41, -2
23, -2
29, 8
73, -4
71, 0
16, -2
21, 4
84, -2
12, 0
117, 2
121, 6
70, -4
124, 0
4, -8
63, 0
25, -6
6, 0
119, 0
45, 0
78, 0
119, 0
73, -4
124, 0
87, -4
107, -2
21, -4
85, 4
69, 0
12, 0
88, -6
111, -4
13, 4
96, -6
82, 2
75, 4
105, -2
110, -4
83, 2
112, 0
57, -4
30, -2
10, 2
61, 6
73, -4
2, -4
43, -2
104, -2
26, 6
22, 2
80, 8
126, 0
19, 0
6, 0
102, 0
109, -6
119, 0
122, -6
107, 2
81, 2
7, -2
81, 2
21, -4
25, 0
34, -8
11, -2
46, 0
27, 4
78, 0
38, 0
18, 0
43, -2
108, 2
87, 0
69, 0
66, -2
31, 2
107, 0
51, 0
107, 0
15, -2
102, 2
60, 2
8, 2
127, 2
109, -6
91, 0
14, -2
106, 2
38, 0
5, 6
109, -6
59, -4
54, 0
54, 4
71, 2
28, 0
105, -2
75, -2
115, 4
35, -2
115, 4
55, -2
49, 0
13, 4
54, 0
120, -6
0, 6
123, 0
55, 0
104, -2
63, 2
54, 4
8, 2
65, -4
124, 0
61, 2
46, 6
52, 4
123, 0
73, -4
9, -2
78, 0
119, -2
46, 0
74, 0
76, -2
94, -2
103, -2
69, 4
60, 2
12, -4
56, -2
51, 4
32, -2
41, -2
87, -4
0, 6
50, 4
53, 4
92, 2
11, -2
100, 6
89, -4
91, 0
72, 2
115, 2
105, -2
38, 0
47, -2
89, 0
57, 0
95, 0
23, 4
108, 2
4, -6
59, -4
105, -2
113, -4
34, -6
59, -4
36, 2
115, 2
71, 2
5, 6
12, -4
66, -6
89, -4
33, 6
34, -6
51, 0
78, -2
21, -4
18, 0
54, 4
50, 0
122, -2
88, 2
121, 4
83, 2
109, 0
97, 4
14, 0
48, 0
13, 4
73, -4
63, 6
58, -2
56, -2
45, 0
60, 2
43, -2
86, -4
72, 4
75, -2
21, 0
25, -6
85, 0
74, -4
100, 6
14, -2
82, 2
55, -2
41, -2
116, 0
72, 4
104, -2
74, -2
34, -8
61, 2
53, 0
64, 0
15, -2
53, 4
112, 0
32, -4
48, 0
44, -2
93, 0
45, 0
71, 6
21, 0
116, 0
48, 0
71, 6
119, -2
62, 2
26, 4
65, -6
126, 2
75, -2
51, 4
40, -2
75, 0
79, 0
88, 2
2, -2
66, -4
64, 4
78, -2
117, 4
44, -2
50, 4
25, 0
97, 2
82, 4
53, 0
70, 0
23, 0
121, 6
0, 4
17, 2
58, -2
34, -6
110, 0
107, 0
125, 0
20, -4
118, 0
78, 0
57, -4
126, 2
2, -2
16, -2
94, 0
38, 2
32, -2
69, 0
77, 0
26, 4
115, 2
98, -2
58, -2
103, -4
64, 4
7, -6
126, 0
64, 0
30, 0
97, 4
120, -4
73, -6
0, 4
7, -4
80, 6
46, 2
127, 2
105, -4
35, -2
78, 2
40, -2
105, -4
8, 2
41, -2
16, -2
61, 4
107, 4
59, -4
45, -4
51, 4
21, -2
81, -6
120, -6
26, 2
113, -6
41, -2
107, 2
22, -2
34, -8
54, 2
23, 4
9, -6
88, -2
90, -4
90, -4
35, 0
74, -4
17, 4
90, -4
38, 2
58, -4
53, 2
114, 2
36, -2
104, -4
118, 4
88, -2
123, -2
120, -6
101, 2
66, -6
10, 8
78, 0
40, -4
0, 4
55, 0
87, -2
6, 4
19, -6
110, 0
64, 4
87, 2
20, -4
50, -8
2, -4
30, -4
59, -2
60, 0
29, 6
51, 2
115, 4
70, 0
104, -4
83, 4
60, 0
121, 2
50, 4
102, 4
67, -2
80, 2
99, 2
23, 6
90, -4
74, -4
51, 2
15, -2
70, -6
22, -4
29, 6
19, -4
44, 2
16, -2
30, -2
16, -2
13, 4
24, -4
49, -2
16, -2
101, -4
94, 4
54, 2
