public_information, excess_demand
122, 4
8, -2
63, -10
99, -10
94, -16
69, 4
38, 10
35, -10
112, -16
36, -10
117, 0
31, 8
58, 6
118, 2
41, -6
93, 2
8, -8
55, 4
121, -10
65, -8
41, -6
38, 12
94, -18
54, -4
100, -8
11, 2
49, -2
3, 8
50, -2
126, 0
113, 0
112, -8
19, 4
36, -12
109, 0
64, 14
29, 6
75, 2
23, -4
90, -10
79, 6
41, 0
20, -6
39, 6
52, -4
78, -8
66, -8
112, -6
68, 10
8, -6
97, 10
57, -4
97, 10
60, 0
66, -8
116, 6
11, 6
125, -2
24, 4
39, 6
52, -4
4, -6
111, -8
88, -4
85, -4
38, 8
124, -6
16, 2
9, 0
101, 0
87, 4
75, 4
90, -8
117, -4
6, 4
120, 8
126, 2
108, -4
41, -4
70, 4
8, -8
118, -6
28, 4
12, 0
22, -2
124, -14
59, 0
127, -12
47, 0
47, 2
112, -12
9, 4
33, 2
12, 4
109, 0
41, 0
15, -8
78, -4
49, 0
28, 4
86, 4
6, 4
78, -6
63, -2
107, 8
113, 0
59, 0
98, 6
6, 6
2, 0
50, -2
105, 12
74, -4
55, 4
8, -6
70, 2
49, 0
31, 6
2, -2
47, -2
22, 0
67, -4
123, 0
54, -6
71, -4
76, 0
86, 4
36, -6
105, 6
31, 6
43, 0
60, -2
67, 0
105, 12
32, -6
104, 2
17, -6
85, -12
22, 0
84, 2
126, 0
107, 8
52, -4
121, -12
34, -2
81, 0
82, 2
52, -4
104, 8
95, -4
43, 2
104, 2
100, -8
117, -6
59, 0
3, 2
122, -4
48, -18
19, 4
11, 0
103, 2
91, -4
75, 2
59, 8
71, -2
105, 12
90, -12
19, 2
97, 10
77, -12
36, -12
11, -2
61, 0
58, -2
113, -2
27, 8
10, 2
36, -4
49, 0
10, 2
65, -6
106, -2
92, 2
91, 2
117, -2
3, 0
37, 8
17, -8
28, 10
79, 0
91, 0
105, 10
13, -8
124, -12
31, 4
68, 0
58, 6
50, 0
6, 6
70, -2
70, 0
86, 6
9, 2
16, 6
89, 10
114, -4
85, -2
99, 2
38, 10
19, 2
108, 4
45, 0
40, -4
29, 4
99, -10
112, -6
121, -4
2, 2
126, -2
39, 6
18, -16
122, 0
30, -2
47, -2
5, -10
69, 6
94, -16
5, -2
8, 4
65, -2
96, -14
67, -2
32, -6
79, -4
11, 4
63, 4
123, 0
76, -6
124, -6
21, -4
91, -8
9, 4
66, -4
85, -10
116, 4
65, 2
96, -10
64, 12
57, -4
43, 8
81, -4
119, -16
96, -8
115, -4
63, -6
74, 0
37, 0
96, -6
61, -2
8, -4
32, -6
123, 2
120, 2
121, -8
15, 0
27, 6
61, -2
21, -6
73, 4
122, 4
11, 4
104, 6
56, 10
106, 0
48, -6
18, -6
125, 4
6, 4
40, -2
100, -4
55, 2
80, 4
95, -4
63, 4
23, 2
120, -4
111, -2
8, -4
118, -2
95, -8
28, 6
77, -10
120, 4
78, -6
113, -6
116, 4
40, -2
80, 4
88, -2
18, -6
91, -2
110, -8
54, -4
84, 0
67, -2
1, -4
16, 0
22, 2
80, 8
48, -12
87, 14
23, -12
86, 6
98, 14
117, -2
56, 4
60, -2
117, -8
7, 14
33, -6
40, -2
80, 4
37, -2
102, 6
108, -2
113, -2
82, 2
81, 18
65, -4
106, 0
12, 2
9, 12
53, 6
8, -6
77, -2
2, 2
1, -8
59, -4
17, 0
117, -8
54, -2
106, -2
39, 4
122, 2
14, 2
82, 2
117, -2
49, 4
18, -14
70, -6
35, -4
27, 6
11, 2
71, 2
109, 2
113, -2
91, 0
22, 4
52, -4
62, 2
55, -2
125, -4
55, -2
84, -4
60, 0
42, -2
27, 2
72, 16
109, 2
50, 12
56, 12
60, 0
88, 2
6, 8
38, 10
47, 4
34, 8
36, -8
91, 0
121, -10
14, 2
70, -6
38, 10
73, 10
122, -6
35, -4
65, -4
2, 0
118, -6
96, 0
96, -2
24, 4
37, -2
78, -2
108, -4
40, 0
86, 6
76, -12
0, -4
118, -4
26, -6
32, 6
118, -4
71, 0
7, 10
120, -4
77, 2
31, -2
90, -14
118, -4
26, -8
83, 6
31, 2
112, -6
126, -10
117, -8
103, -2
12, 4
108, 0
4, -6
87, 18
75, -2
120, 4
77, -8
33, -6
71, 0
25, 4
66, -14
77, 0
116, 8
110, 2
126, -10
76, 2
112, -6
117, 4
7, 2
80, 10
61, 4
80, 10
76, -8
125, 0
55, 8
78, -6
31, -2
127, -14
119, -6
114, -6
13, -2
1, -4
74, 0
57, 12
96, -2
83, 6
125, -6
75, 10
105, 2
56, 8
80, -2
125, 2
77, -8
62, -2
55, 6
127, -10
91, 0
28, 0
117, 0
94, -12
117, -6
89, -6
79, 8
0, -2
19, -4
8, -4
43, -2
127, -10
106, 4
14, -6
85, -12
53, 4
104, 6
48, -6
111, 4
77, 0
5, -2
101, 2
70, 0
61, 2
52, -6
108, 2
8, -12
125, 2
12, 4
28, -2
94, -12
82, 6
35, -6
25, -10
89, 4
32, 0
7, 2
101, 4
58, -6
124, -8
44, -2
57, 8
69, -2
11, -2
65, 0
126, -4
97, -2
28, 2
93, 2
26, 4
25, -4
14, -2
119, -6
29, 4
120, 0
4, -2
72, 10
16, 6
73, 10
6, -6
74, 12
36, -10
52, -2
25, -8
121, -6
18, -2
21, -4
28, 4
42, 2
60, -4
56, 0
15, -12
60, 0
113, -6
87, 8
60, -4
17, -10
118, 8
73, 10
64, 4
25, -4
55, 8
82, -2
100, 4
125, -4
92, 2
82, 2
66, -2
41, -2
113, -4
113, -2
88, 2
83, 4
108, -12
106, 2
25, -6
78, -2
26, -2
12, -2
7, 0
80, -4
1, -6
109, 2
7, 2
99, 2
78, -8
90, -12
117, 4
95, -10
40, -6
102, 6
66, -2
100, -12
10, 0
11, 18
20, 6
11, 14
90, -2
57, -10
0, -2
86, -2
65, -6
90, -12
117, 4
62, 6
84, 8
116, -8
44, 6
68, 2
63, -10
59, 0
14, -4
96, -2
66, -2
0, -2
45, 10
62, 6
94, -6
19, -6
123, -10
45, 8
17, 6
105, 4
8, 0
74, 4
89, 4
114, 8
107, 8
125, -2
44, 14
90, -14
32, -4
10, 4
28, 0
40, 2
121, -14
32, 4
70, 6
101, 4
102, 6
22, 0
14, 2
120, 8
38, 10
69, 4
7, 0
29, 4
64, 6
15, -10
95, -2
107, -6
35, -14
54, -2
111, -8
74, 0
81, -6
100, -6
42, 6
4, -8
69, -2
50, 6
56, 4
92, -4
66, 4
56, 0
62, 0
8, -6
114, -8
52, -6
1, -6
123, -2
48, 0
77, -4
66, 4
15, -6
53, -10
44, -10
33, -8
62, 10
69, 0
120, 8
